 Tarih ,USD TL
 2009-09 ,1.49
 2009-10 ,1.46
 2009-11 ,1.48
 2009-12 ,1.50
 2010-01 ,1.47
 2010-02 ,1.51
 2010-03 ,1.53
 2010-04 ,1.49
 2010-05 ,1.54
 2010-06 ,1.57
 2010-07 ,1.54
 2010-08 ,1.50
 2010-09 ,1.49
 2010-10 ,1.42
 2010-11 ,1.43
 2010-12 ,1.51
 2011-01 ,1.55
 2011-02 ,1.58
 2011-03 ,1.58
 2011-04 ,1.52
 2011-05 ,1.56
 2011-06 ,1.59
 2011-07 ,1.65
 2011-08 ,1.74
 2011-09 ,1.79
 2011-10 ,1.83
 2011-11 ,1.80
 2011-12 ,1.86
 2012-01 ,1.84
 2012-02 ,1.75
 2012-03 ,1.78
 2012-04 ,1.78
 2012-05 ,1.80
 2012-06 ,1.82
 2012-07 ,1.81
 2012-08 ,1.79
 2012-09 ,1.80
 2012-10 ,1.79
 2012-11 ,1.79
 2012-12 ,1.78
 2013-01 ,1.76
 2013-02 ,1.77
 2013-03 ,1.81
 2013-04 ,1.80
 2013-05 ,1.82
 2013-06 ,1.90
 2013-07 ,1.93
 2013-08 ,1.96
 2013-09 ,2.02
 2013-10 ,1.99
 2013-11 ,2.02
 2013-12 ,2.06
 2014-01 ,2.22
 2014-02 ,2.21
 2014-03 ,2.22
 2014-04 ,2.13
 2014-05 ,2.09
 2014-06 ,2.12
 2014-07 ,2.12
 2014-08 ,2.16
 2014-09 ,2.20
 2014-10 ,2.26
 2014-11 ,2.23
 2014-12 ,2.29
 2015-01 ,2.33
 2015-02 ,2.46
 2015-03 ,2.58
 2015-04 ,2.65
 2015-05 ,2.65
 2015-06 ,2.70
 2015-07 ,2.70
 2015-08 ,2.85
 2015-09 ,3.00
 2015-10 ,2.93
 2015-11 ,2.87
 2015-12 ,2.92
 2016-01 ,3.01
 2016-02 ,2.94
 2016-03 ,2.89
 2016-04 ,2.84
 2016-05 ,2.93
 2016-06 ,2.92
 2016-07 ,2.96
 2016-08 ,2.96
 2016-09 ,2.96
 2016-10 ,3.07
 2016-11 ,3.27
 2016-12 ,3.49
 2017-01 ,3.74
 2017-02 ,3.67
 2017-03 ,3.67
 2017-04 ,3.65
 2017-05 ,3.56
 2017-06 ,3.52
 2017-07 ,3.56
 2017-08 ,3.51
 2017-09 ,3.47
 2017-10 ,3.66
 2017-11 ,3.88
 2017-12 ,3.85
 2018-01 ,3.77
 2018-02 ,3.78
 2018-03 ,3.88
 2018-04 ,4.05
 2018-05 ,4.41
 2018-06 ,4.63
 2018-07 ,4.75
 2018-08 ,5.73
 2018-09 ,6.37
 2018-10 ,5.86
 2018-11 ,5.37
 2018-12 ,5.31
 2019-01 ,5.37
 2019-02 ,5.26
 2019-03 ,5.44
 2019-04 ,5.74
 2019-05 ,6.05
 2019-06 ,5.81
 2019-07 ,5.67
 2019-08 ,5.63
 2019-09 ,5.71
 2019-10 ,5.79
 2019-11 ,5.73
 2019-12 ,5.84
 2020-01 ,5.92
 2020-02 ,6.04
 2020-03 ,6.31
 2020-04 ,6.82
 2020-05 ,6.95
 2020-06 ,6.81
 2020-07 ,6.85
 2020-08 ,7.25
 2020-09 ,7.51
 2020-10 ,7.87
 2020-11 ,8.00
 2020-12 ,7.72
 2021-01 ,7.39
 2021-02 ,7.07
 2021-03 ,7.63
 2021-04 ,8.16
 2021-05 ,8.34
 2021-06 ,8.60
 2021-07 ,8.61
 2021-08 ,8.48
 2021-09 ,8.51
 2021-10 ,9.14
 2021-11 ,10.52
 2021-12 ,13.53
 2022-01 ,13.52
 2022-02 ,13.62
