Tarih,Sifir Araba,Tasit Sigortasi,Araba
2009-09,20,18,11
2009-10,18,19,11
2009-11,16,13,13
2009-12,20,19,12
2010-01,12,23,14
2010-02,16,15,13
2010-03,16,18,15
2010-04,13,19,15
2010-05,17,18,13
2010-06,14,19,11
2010-07,17,16,12
2010-08,20,12,11
2010-09,24,13,12
2010-10,20,17,14
2010-11,22,14,14
2010-12,25,17,13
2011-01,19,19,12
2011-02,20,15,13
2011-03,19,14,13
2011-04,19,15,13
2011-05,18,13,13
2011-06,20,15,12
2011-07,19,16,14
2011-08,20,14,14
2011-09,26,15,14
2011-10,23,11,13
2011-11,22,14,13
2011-12,24,16,13
2012-01,17,20,13
2012-02,17,16,14
2012-03,23,14,14
2012-04,17,13,16
2012-05,15,17,15
2012-06,17,16,16
2012-07,18,19,17
2012-08,18,19,16
2012-09,18,18,16
2012-10,20,20,14
2012-11,20,20,14
2012-12,22,24,13
2013-01,12,35,14
2013-02,17,30,15
2013-03,20,31,17
2013-04,21,30,17
2013-05,19,24,16
2013-06,20,20,17
2013-07,22,25,18
2013-08,21,23,19
2013-09,25,23,18
2013-10,25,21,19
2013-11,29,21,17
2013-12,29,22,17
2014-01,18,27,17
2014-02,17,22,20
2014-03,17,19,20
2014-04,20,20,21
2014-05,19,20,19
2014-06,21,21,19
2014-07,23,22,21
2014-08,24,23,27
2014-09,26,22,23
2014-10,29,19,23
2014-11,32,20,24
2014-12,30,22,24
2015-01,22,23,26
2015-02,27,20,27
2015-03,28,21,34
2015-04,27,20,30
2015-05,25,23,31
2015-06,23,25,29
2015-07,31,29,33
2015-08,28,34,35
2015-09,28,33,33
2015-10,27,35,33
2015-11,31,45,32
2015-12,35,64,32
2016-01,21,77,32
2016-02,26,68,38
2016-03,26,61,38
2016-04,28,73,39
2016-05,27,59,37
2016-06,25,53,34
2016-07,27,75,37
2016-08,30,100,37
2016-09,32,78,36
2016-10,35,87,34
2016-11,39,61,31
2016-12,30,63,69
2017-01,22,55,69
2017-02,21,53,76
2017-03,24,63,77
2017-04,25,99,78
2017-05,25,50,79
2017-06,30,49,82
2017-07,26,53,85
2017-08,27,42,79
2017-09,29,40,76
2017-10,25,40,72
2017-11,29,37,72
2017-12,27,44,69
2018-01,23,37,71
2018-02,29,40,73
2018-03,25,44,80
2018-04,24,44,82
2018-05,22,42,73
2018-06,25,42,79
2018-07,24,51,91
2018-08,22,41,84
2018-09,21,40,80
2018-10,19,43,73
2018-11,41,46,72
2018-12,22,54,71
2019-01,17,44,66
2019-02,21,42,41
2019-03,20,45,43
2019-04,18,46,87
2019-05,18,48,84
2019-06,27,47,90
2019-07,20,54,89
2019-08,26,47,89
2019-09,34,45,79
2019-10,37,41,76
2019-11,33,43,78
2019-12,31,45,74
2020-01,24,41,72
2020-02,28,36,77
2020-03,23,32,65
2020-04,16,31,71
2020-05,27,38,83
2020-06,61,40,100
2020-07,53,41,93
2020-08,44,36,87
2020-09,40,31,75
2020-10,38,29,73
2020-11,33,27,65
2020-12,41,28,67
2021-01,39,27,67
2021-02,39,24,69
2021-03,46,28,69
2021-04,30,27,66
2021-05,30,27,69
2021-06,35,35,79
2021-07,37,38,80
2021-08,56,30,76
2021-09,30,28,66
2021-10,27,28,64
2021-11,28,31,60
2021-12,33,31,55
2022-01,32,34,58
2022-02,26,37,62
