Tarih,Vehicle Credit Interest Rates
2009-09,15.67
2009-10,15.02
2009-11,14.07
2009-12,13.13
2010-01,13.18
2010-02,13.27
2010-03,12.73
2010-04,12.01
2010-05,11.74
2010-06,11.75
2010-07,11.38
2010-08,10.87
2010-09,10.79
2010-10,10.60
2010-11,10.26
2010-12,9.67
2011-01,10.28
2011-02,10.44
2011-03,10.51
2011-04,10.69
2011-05,10.95
2011-06,11.37
2011-07,12.48
2011-08,12.82
2011-09,12.98
2011-10,12.97
2011-11,13.42
2011-12,12.02
2012-01,15.04
2012-02,14.82
2012-03,13.39
2012-04,13.17
2012-05,12.99
2012-06,12.99
2012-07,13.38
2012-08,13.38
2012-09,13.00
2012-10,12.77
2012-11,12.07
2012-12,11.01
2013-01,11.06
2013-02,10.91
2013-03,10.48
2013-04,10.30
2013-05,9.88
2013-06,9.61
2013-07,10.10
2013-08,10.60
2013-09,11.46
2013-10,11.81
2013-11,11.28
2013-12,10.99
2014-01,12.84
2014-02,15.09
2014-03,15.21
2014-04,14.91
2014-05,14.29
2014-06,13.31
2014-07,12.79
2014-08,12.84
2014-09,12.72
2014-10,12.37
2014-11,12.38
2014-12,12.60
2015-01,12.91
2015-02,13.06
2015-03,12.58
2015-04,12.79
2015-05,13.14
2015-06,13.44
2015-07,13.60
2015-08,14.14
2015-09,15.20
2015-10,15.82
2015-11,15.62
2015-12,15.18
2016-01,15.82
2016-02,16.32
2016-03,16.33
2016-04,15.92
2016-05,15.54
2016-06,15.30
2016-07,15.31
2016-08,15.45
2016-09,15.01
2016-10,14.74
2016-11,13.71
2016-12,13.86
2017-01,15.21
2017-02,15.62
2017-03,15.38
2017-04,15.68
2017-05,15.61
2017-06,15.37
2017-07,15.97
2017-08,16.22
2017-09,16.36
2017-10,15.69
2017-11,14.49
2017-12,14.64
2018-01,17.48
2018-02,18.01
2018-03,17.39
2018-04,18.19
2018-05,18.86
2018-06,21.74
2018-07,24.09
2018-08,26.35
2018-09,32.44
2018-10,32.78
2018-11,30.83
2018-12,29.49
2019-01,29.52
2019-02,26.78
2019-03,23.58
2019-04,25.07
2019-05,27.58
2019-06,28.68
2019-07,27.40
2019-08,22.89
2019-09,20.19
2019-10,16.03
2019-11,14.95
2019-12,13.75
2020-01,14.06
2020-02,13.12
2020-03,13.35
2020-04,13.91
2020-05,13.12
2020-06,11.64
2020-07,11.61
2020-08,14.39
2020-09,16.82
2020-10,17.45
2020-11,18.81
2020-12,17.15
2021-01,19.04
2021-02,19.23
2021-03,19.36
2021-04,21.72
2021-05,22.39
2021-06,22.03
2021-07,22.25
2021-08,21.80
2021-09,21.33
2021-10,20.73
2021-11,21.46
2021-12,24.82
2022-01,28.25
2022-02,26.85
