Tarih,TP FG J07,TP FG J071,TP FG J072,TP FG J073
2009-09,158.15,108.13,176.06,193.34
2009-10,161.48,113.70,177.09,194.48
2009-11,163.50,115.19,181.16,194.42
2009-12,163.08,113.19,181.86,195.75
2010-01,168.84,115.11,195.14,198.68
2010-02,169.55,115.06,196.65,199.93
2010-03,170.79,115.63,199.24,200.53
2010-04,170.87,115.92,198.66,200.94
2010-05,170.82,116.20,197.17,202.03
2010-06,170.11,115.53,195.23,203.17
2010-07,170.95,115.86,195.62,205.54
2010-08,170.66,115.50,194.86,206.18
2010-09,170.86,114.82,196.27,206.89
2010-10,171.52,115.23,197.06,207.73
2010-11,172.30,114.34,200.02,209.44
2010-12,174.14,112.91,208.75,209.53
2011-01,176.65,114.60,212.14,211.80
2011-02,179.78,118.84,213.68,213.16
2011-03,182.60,119.99,219.71,214.31
2011-04,184.50,121.66,222.12,215.20
2011-05,185.67,121.96,224.47,216.38
2011-06,186.27,122.75,223.41,218.80
2011-07,187.72,122.77,226.74,220.49
2011-08,191.28,125.79,231.72,221.80
2011-09,194.95,129.67,234.02,225.51
2011-10,196.14,130.95,233.87,228.03
2011-11,195.07,130.49,230.53,229.25
2011-12,195.42,130.35,231.75,229.40
2012-01,199.44,132.71,237.61,233.40
2012-02,200.10,132.40,239.97,233.95
2012-03,202.40,131.80,248.31,234.27
2012-04,202.94,132.34,247.60,236.40
2012-05,200.18,132.32,236.92,239.10
2012-06,197.40,132.39,228.25,238.47
2012-07,198.13,132.32,228.09,242.40
2012-08,201.29,132.23,238.20,242.81
2012-09,204.61,131.31,248.47,246.12
2012-10,208.82,131.36,260.55,248.24
2012-11,206.79,130.25,256.16,248.13
2012-12,206.24,129.92,255.03,248.11
2013-01,207.28,130.62,255.57,250.25
2013-02,210.65,133.56,259.47,251.58
2013-03,210.55,133.85,257.51,252.77
2013-04,209.22,134.00,251.29,253.95
2013-05,209.50,134.70,249.06,256.02
2013-06,212.63,134.85,258.49,258.68
2013-07,217.48,138.11,266.83,260.43
2013-08,219.01,139.20,268.81,261.74
2013-09,223.36,142.30,274.24,265.49
2013-10,224.11,144.18,270.85,267.28
2013-11,223.92,143.45,272.48,266.66
2013-12,226.39,143.25,282.75,265.98
2014-01,232.06,151.68,287.34,266.04
2014-02,237.37,161.10,287.97,268.25
2014-03,239.47,166.94,285.00,269.29
2014-04,238.17,167.83,278.82,270.70
2014-05,236.97,166.66,275.55,272.70
2014-06,238.16,164.96,278.96,276.51
2014-07,239.85,164.87,281.88,279.75
2014-08,239.70,164.79,279.50,282.72
2014-09,239.97,164.83,276.78,287.71
2014-10,239.53,164.74,273.73,290.44
2014-11,235.25,163.84,264.88,286.65
2014-12,231.07,162.89,253.79,286.62
2015-01,229.77,166.79,243.92,286.42
2015-02,233.84,170.74,249.45,287.34
2015-03,235.96,171.23,255.39,286.90
2015-04,236.94,171.46,257.33,287.91
2015-05,241.11,173.65,264.36,291.14
2015-06,241.08,174.15,262.40,292.80
2015-07,242.06,176.27,261.30,293.92
2015-08,241.13,176.90,256.74,295.10
2015-09,245.78,183.80,258.81,296.92
2015-10,249.21,187.45,260.93,300.78
2015-11,247.27,186.92,257.41,298.50
2015-12,245.87,185.87,254.74,298.58
2016-01,246.71,188.76,252.83,299.77
2016-02,248.61,194.28,249.61,302.59
2016-03,250.57,194.79,254.05,302.97
2016-04,252.13,194.82,256.27,306.09
2016-05,254.90,195.09,262.95,306.85
2016-06,256.62,197.42,264.19,307.85
2016-07,256.90,197.36,262.23,312.27
2016-08,257.38,199.71,260.16,313.20
2016-09,264.32,200.23,272.97,321.63
2016-10,269.61,202.96,283.05,323.16
2016-11,270.94,206.10,284.85,320.03
2016-12,276.27,209.43,296.31,318.39
2017-01,285.22,213.34,311.14,325.20
2017-02,293.25,223.43,318.09,328.99
2017-03,294.89,232.01,311.40,330.85
2017-04,297.37,236.01,309.34,337.93
2017-05,295.21,235.32,303.75,339.41
2017-06,292.73,231.73,300.03,342.14
2017-07,296.04,234.39,302.11,348.34
2017-08,302.11,239.66,311.07,349.42
2017-09,306.87,241.58,317.26,356.49
2017-10,314.89,250.09,326.00,360.30
2017-11,321.23,256.56,337.33,355.73
2017-12,326.65,265.56,339.64,358.07
2018-01,330.90,268.55,345.99,360.13
2018-02,331.92,273.28,341.87,361.69
2018-03,334.43,277.24,343.11,362.30
2018-04,346.28,289.99,356.78,364.98
2018-05,354.31,296.08,367.32,370.59
2018-06,363.74,307.72,373.29,378.55
2018-07,367.71,312.05,376.72,381.55
2018-08,384.08,330.34,394.14,386.36
2018-09,419.21,375.35,418.92,407.01
2018-10,415.66,364.56,424.66,404.30
2018-11,388.79,316.80,417.51,398.47
2018-12,378.82,313.82,394.28,399.96
2019-01,379.59,311.52,398.01,403.35
2019-02,382.29,311.41,406.83,401.30
2019-03,385.14,307.04,421.34,401.07
2019-04,389.74,310.25,427.63,404.72
2019-05,398.25,321.85,432.46,408.74
2019-06,400.11,325.18,426.48,420.76
2019-07,417.97,358.13,426.13,425.23
2019-08,409.88,348.48,414.84,430.34
2019-09,416.46,345.80,422.36,458.61
2019-10,421.32,348.34,430.51,461.96
2019-11,422.69,348.83,434.90,459.60
2019-12,425.08,352.18,436.45,460.07
2020-01,428.76,354.12,441.79,463.54
2020-02,427.15,353.58,436.32,467.19
2020-03,419.00,359.25,408.32,467.88
2020-04,411.33,371.05,374.66,468.11
2020-05,424.90,380.98,393.39,476.73
2020-06,443.98,395.43,411.18,503.64
2020-07,454.80,404.73,430.67,499.08
2020-08,461.90,410.30,441.41,501.09
2020-09,470.38,426.84,445.56,498.14
2020-10,479.98,439.53,455.34,498.43
2020-11,501.61,481.33,462.47,498.11
2020-12,514.86,499.86,474.05,499.89
2021-01,520.65,500.92,482.72,511.64
2021-02,523.15,503.36,485.39,513.11
2021-03,523.13,505.77,481.71,514.50
2021-04,531.90,523.13,481.37,516.10
2021-05,545.51,530.18,496.57,542.13
2021-06,560.71,537.71,520.30,555.43
2021-07,566.77,539.91,532.62,556.12
2021-08,562.42,525.08,539.50,558.25
2021-09,565.44,526.75,538.81,573.90
2021-10,579.17,527.76,572.72,572.98
2021-11,615.69,556.01,628.18,576.48
2021-12,791.13,785.99,768.81,609.83
2022-01,879.32,796.83,923.13,712.76
2022-02,919.45,797.25,1001.07,753.62
